Lao Script,Transliteration,English Translation,Word Type
ສະບາຍດີ,Sabaidee,Hello,greeting
ຂອບໃຈ,Khop chai,Thank you,phrase
ແມ່ນ,Maen,Yes/To be,verb
ບໍ່,Bor,No/Not,particle
ໂດຍ,Doi,Yes (Polite),particle
ຂ້ອຍ,Khoy,I/Me,pronoun
ເຈົ້າ,Jao,You,pronoun
ລາວ,Lao,He/She,pronoun
ພວກເຮົາ,Phuak hao,We,pronoun
ພວກເຂົາ,Phuak khao,They,pronoun
ນີ້,Nee,This,determiner
ນັ້ນ,Nan,That,determiner
ຫຍັງ,Nyang,What,pronoun
ໃສ,Sai,Where,adverb
ໃຜ,Phai,Who,pronoun
ເມື່ອໃດ,Meua dai,When,adverb
ເປັນຫຍັງ,Pen nyang,Why,adverb
ແນວໃດ,Naew dai,How,adverb
ກິນ,Gin,Eat,verb
ດື່ມ,Deum,Drink,verb
ໄປ,Pai,Go,verb
ມາ,Ma,Come,verb
ນອນ,Non,Sleep,verb
ຮັກ,Huk,Love,verb
ຢາກ,Yak,Want,verb
ມີ,Mee,Have,verb
ຮູ້,Roo,Know,verb
ເຂົ້າໃຈ,Khao jai,Understand,verb
ເຮັດ,Het,Do/Make,verb
ເວົ້າ,Vao,Speak,verb
ເບິ່ງ,Beung,Look,verb
ຟັງ,Fang,Listen,verb
ອ່ານ,An,Read,verb
ຂຽນ,Khian,Write,verb
ຮຽນ,Hian,Learn,verb
ເຮັດວຽກ,Het viak,Work,verb
ຫຼິ້ນ,Lin,Play,verb
ຊື້,Seu,Buy,verb
ຂາຍ,Khai,Sell,verb
ພົບ,Phop,Meet,verb
ຊ່ວຍ,Suay,Help,verb
ຢຸດ,Yut,Stop,verb
ຍ່າງ,Nyang,Walk,verb
ແລ່ນ,Laen,Run,verb
ນັ່ງ,Nang,Sit,verb
ຢືນ,Yeun,Stand,verb
ຄົນ,Khon,Person,noun
ນ້ຳ,Nam,Water,noun
ເຂົ້າ,Khao,Rice/Food,noun
ເຮືອນ,Heuan,House,noun
ໂຮງຮຽນ,Hong hian,School,noun
ວັດ,Wat,Temple,noun
ຕະຫຼາດ,Ta lat,Market,noun
ໂຮງໝໍ,Hong mor,Hospital,noun
ທາງ,Tang,Road,noun
ມື້,Meu,Day,noun
ອາທິດ,Athit,Week,noun
ເດືອນ,Deuan,Month,noun
ປີ,Pi,Year,noun
ເວລາ,Vela,Time,noun
ພໍ່,Phor,Father,noun
ແມ່,Mae,Mother,noun
ອ້າຍ,Ai,Older brother,noun
ເອື້ອຍ,Euay,Older sister,noun
ໝູ່,Moo,Friend,noun
ເງິນ,Ngin,Money,noun
ດີ,Dee,Good,adjective
ບໍ່ດີ,Bor dee,Bad,adjective
ໃຫຍ່,Nyai,Big,adjective
ນ້ອຍ,Noy,Small,adjective
ສູງ,Soong,Tall,adjective
ງາມ,Ngam,Beautiful,adjective
ຮ້ອນ,Hon,Hot,adjective
ໜາວ,Nao,Cold,adjective
ແຊບ,Saep,Delicious,adjective
ແພງ,Phaeng,Expensive,adjective
ຖືກ,Theuk,Cheap,adjective
ໃໝ່,Mai,New,adjective
ເກົ່າ,Kao,Old,adjective
ໄວ,Vai,Fast,adjective
ຊ້າ,Sa,Slow,adjective
ຫຼາຍ,Lai,Many/Very,adjective
ໜ້ອຍ,Noy,Few/Little,adjective
ແລະ,Lae,And,conjunction
ແຕ່,Tae,But,conjunction
ຫຼື,Leu,Or,conjunction
ກັບ,Gap,With/And,preposition
ຢູ່,Yuu,At/Live,preposition
ໃນ,Nai,In,preposition
ເທິງ,Theung,On/Above,preposition
ກ່ອນ,Kon,Before,preposition
ຫຼັງ,Lang,After/Behind,preposition
ແລ້ວ,Laew,Already,adverb
ອີກ,Eek,Again,adverb
ມື້ວານນີ້,Meu van nee,Yesterday,noun
ມື້ນີ້,Meu nee,Today,noun
ມື້ອື່ນ,Meu eun,Tomorrow,noun
ຫົວ,Hua,Head,noun
ມື,Meu,Hand,noun
ຕີນ,Thin,Foot,noun
ຕາ,Ta,Eye,noun
ດັງ,Dang,Nose,noun
ປາກ,Pak,Mouth,noun
ຫູ,Hoo,Ear,noun
ໃຈ,Jai,Heart/Mind,noun
ໜຶ່ງ,Neung,One,number
ສອງ,Song,Two,number
ສາມ,Sam,Three,number
ສີ່,See,Four,number
ຫ້າ,Ha,Five,number
ຫົກ,Hok,Six,number
ເຈັດ,Jet,Seven,number
ແປດ,Paet,Eight,number
ເກົ້າ,Kao,Nine,number
ສິບ,Sip,Ten,number
ສິບເອັດ,Sip et,Eleven,number
ສິບສອງ,Sip song,Twelve,number
ຊາວ,Sao,Twenty,number
ສາມສິບ,Sam sip,Thirty,number
ສີ່ສິບ,See sip,Forty,number
ຫ້າສິບ,Ha sip,Fifty,number
ຫົກສິບ,Hok sip,Sixty,number
ເຈັດສິບ,Jet sip,Seventy,number
ແປດສິບ,Paet sip,Eighty,number
ເກົ້າສິບ,Kao sip,Ninety,number
ຮ້ອຍ,Hoy,Hundred,number
ສີແດງ,See daeng,Red,noun/adj
ສີຟ້າ,See fa,Blue,noun/adj
ສີຂຽວ,See khiao,Green,noun/adj
ສີເຫຼືອງ,See lueang,Yellow,noun/adj
ສີດໍາ,See dam,Black,noun/adj
ສີຂາວ,See khao,White,noun/adj
ໝາ,Ma,Dog,noun
ແມວ,Maew,Cat,noun
ໄກ່,Gai,Chicken,noun
ປາ,Pa,Fish,noun
ງົວ,Ngua,Cow,noun
ຊ້າງ,Sang,Elephant,noun
ໝາກໄມ້,Mak mai,Fruit,noun
ໝາກກ້ວຍ,Mak guay,Banana,noun
ໝາກນັດ,Mak nat,Pineapple,noun
ໝາກຫຸ່ງ,Mak hung,Papaya,noun
ຜັກ,Phak,Vegetable,noun
ໄຂ່,Khai,Egg,noun
ເຂົ້າຈີ່,Khao jee,Bread,noun
ກາເຟ,Ga fe,Coffee,noun
ນົມ,Nom,Milk,noun
ເບຍ,Bia,Beer,noun
ລົດຖີບ,Rot thip,Bicycle,noun
ລົດຈັກ,Rot jak,Motorcycle,noun
ເຮືອບິນ,Heua bin,Airplane,noun
ໂທລະສັບ,Tholasap,Phone,noun
ປຶ້ມ,Peum,Book,noun
ໂຕະ,To,Table,noun
ຕັ່ງ,Tang,Chair,noun
ຕຽງ,Tiang,Bed,noun
ຜ້າ,Pha,Cloth,noun
ເກີບ,Geup,Shoes,noun
ໝວກ,Muak,Hat,noun
ຝົນ,Fon,Rain,noun
ແດດ,Daet,Sunshine,noun
ລົມ,Lom,Wind,noun
ພູ,Phoo,Mountain,noun
ປ່າ,Pa,Forest,noun
ແມ່ນ້ຳ,Mae nam,River,noun
ທະເລ,Tha lae,Sea,noun
ຕົ້ນໄມ້,Ton mai,Tree,noun
ສະບາຍ,Sabai,Comfortable,adjective
ເສຍໃຈ,Sia jai,Sad,adjective
ຢ້ານ,Yan,Afraid,adjective
ເມື່ອຍ,Meuay,Tired,adjective
ຫິວ,Hiu,Hungry,adjective
ເຈັບ,Jep,Pain/Sick,adjective
ງ່າຍ,Ngai,Easy,adjective
ຍາກ,Nyak,Difficult,adjective
ສະອາດ,Sa at,Clean,adjective
ເປື້ອນ,Peuan,Dirty,adjective
ເປີດ,Peut,Open,verb
ປິດ,Pit,Close,verb
ຖາມ,Tham,Ask,verb
ຕອບ,Top,Answer,verb
ລໍຖ້າ,Lor tha,Wait,verb
ຄິດ,Khit,Think,verb
ເຊື່ອ,Seua,Believe,verb
ຈື່,Cheu,Remember,verb
ລືມ,Leum,Forget,verb
ໃຊ້,Say,Use,verb
ແປ,Pae,Translate,verb
ໂທ,Tho,Call,verb
ສົ່ງ,Song,Send,verb
ຮັບ,Hap,Receive,verb
ເລີ່ມ,Loem,Start,verb
ຈົບ,Chop,Finish,verb
Lao Script,Transliteration,English Translation,word type
ເກີດ,Koet,To be born,verb
ຕາຍ,Tai,To die,verb
ເລືອກ,Leuak,To choose,verb
ລອງ,Long,To try / To test,verb
ແລກປ່ຽນ,Laek pian,To exchange,verb
ປ່ຽນ,Pian,To change,verb
ຊອກຫາ,Sok ha,To look for,verb
ເຫັນ,Hen,To see,verb
ສົນໃຈ,Son chai,To be interested,verb
ຕົກລົງ,Tok long,To agree / To fall,verb
ປະຕິເສດ,Pa ti set,To refuse,verb
ລົງທຶນ,Long thun,To invest,verb
ປະຢັດ,Pa yat,To save (money/time),verb
ຈ່າຍ,Chai,To pay,verb
ຢືມ,Yeum,To borrow,verb
ໃຫ້ຢືມ,Hai yeum,To lend,verb
ກັບຄືນ,Gap kheun,To return,verb
ແນະນໍາ,Nae nam,To recommend / Introduce,verb
ອະທິບາຍ,A thi bai,To explain,verb
ສັນຍາ,San nya,To promise,noun/verb
ລາຍງານ,Lai ngan,To report,noun/verb
ກວດສອບ,Guat sop,To check / Inspect,verb
ປັບປຸງ,Pap pung,To improve,verb
ພັດທະນາ,Phat tha na,To develop,verb
ກໍ່ສ້າງ,Go sang,To build / Construct,verb
ທໍາລາຍ,Tham lai,To destroy,verb
ປ້ອງກັນ,Pong gan,To protect,verb
ຕໍ່ສູ້,Tor soo,To fight,verb
ຊະນະ,Sa na,To win,verb
ເສຍ,Sia,To lose / Broken,verb/adj
ແຂ່ງຂັນ,Khaeng khan,To compete,verb
ສະໜັບສະໜູນ,Sa nap sa noon,To support,verb
ຊົມເຊີຍ,Som seuay,To praise / Congratulate,verb
ຕໍານິ,Tam ni,To criticize,verb
ອະນຸຍາດ,A nu yat,To allow,verb
ຫ້າມ,Ham,To forbid,verb
ບັງຄັບ,Bang khap,To force,verb
ອາໄສ,A sai,To reside / Rely on,verb
ເດີນທາງ,Deun thang,To travel,verb
ຍ້າຍ,Nyai,To move,verb
ຂຶ້ນ,Kheun,To go up / Increase,verb/adv
ລົງ,Long,To go down / Decrease,verb/adv
ເຂົ້າ,Khao,To enter,verb
ອອກ,Ok,To exit,verb
ລໍຖ້າ,Lor tha,To wait,verb
ຮີບຮ້ອນ,Hip hon,To hurry,verb
ຊ້າໆ,Sa sa,Slowly,adverb
ໄວໆ,Vai vai,Quickly,adverb
ແນ່ນອນ,Nae non,Certainly,adverb
ບາງທີ,Bang thi,Maybe,adverb
ບ່ອນນີ້,Bon nee,Here,adverb
ບ່ອນນັ້ນ,Bon nan,There,adverb
ທຸກໆມື້,Thuk thuk meu,Every day,adverb
ບາງຄັ້ງ,Bang khang,Sometimes,adverb
ສະເໝີ,Sa moer,Always,adverb
ບໍ່ເຄີຍ,Bor kheuay,Never,adverb
ປົກກະຕິ,Pok ga ti,Normally,adverb
ທັນທີ,Than thi,Immediately,adverb
ພ້ອມ,Phom,Ready / Together,adj/adv
ຕ່າງຫາກ,Tang hak,Separately,adverb
ພຽງແຕ່,Phiang tae,Only,adverb
ເກີນໄປ,Geun pai,Too much,adverb
ພໍດີ,Phor dee,Just right,adverb
ຫຼາຍເກີນໄປ,Lai geun pai,Excessive,adjective
ໜ້ອຍເກີນໄປ,Noy geun pai,Insufficient,adjective
ທັງໝົດ,Thang mot,All / Everything,adjective
ບາງຢ່າງ,Bang yang,Something,noun
ທຸກຢ່າງ,Thuk yang,Everything,noun
ບໍ່ມີຫຍັງ,Bor mee nyang,Nothing,noun
ຄົນອື່ນ,Khon eun,Others / Someone else,noun
ໃຜກໍ່ຕາມ,Phai go tam,Anyone,pronoun
ໃຜກໍ່ໄດ້,Phai go dai,Whoever,pronoun
ຫ້ອງການ,Hong gan,Office,noun
ບໍລິສັດ,Bo ri sat,Company,noun
ລັດຖະບານ,Lat tha ban,Government,noun
ກົດໝາຍ,Got mai,Law,noun
ພາສີ,Pha see,Tax,noun
ເອກະສານ,Ek ga san,Document,noun
ລາຍຊື່,Lai seu,List / Names,noun
ປະຊຸມ,Pa xum,Meeting,noun/verb
ແຜນການ,Phaen gan,Plan,noun
ໂຄງການ,Khong gan,Project,noun
ຜົນປະໂຫຍດ,Phon pa nnyot,Benefit / Profit,noun
ລາຄາ,La kha,Price,noun
ຄ່າຈ້າງ,Kha chang,Salary / Wage,noun
ວຽກງານ,Viak ngan,Task / Job,noun
ອາຊີບ,A sip,Career,noun
ລູກຄ້າ,Luk kha,Customer,noun
ຜູ້ຈັດການ,Phu chat gan,Manager,noun
ພະນັກງານ,Pha nak ngan,Staff / Employee,noun
ເຈົ້າຂອງ,Chao khong,Owner,noun
ຕະຫຼາດ,Ta lat,Market,noun
ທະນາຄານ,Tha na khan,Bank,noun
ບັນຊີ,Ban xee,Account,noun
ບັດ,Bat,Card,noun
ລະຫັດ,Ra hat,Code / Password,noun
ຂໍ້ມູນ,Kho moon,Data / Info,noun
ອິນເຕີເນັດ,In ter net,Internet,noun
ເວັບໄຊທ໌,Web site,Website,noun
ອີເມວ,E mail,Email,noun
ຂໍ້ຄວາມ,Kho khuam,Message,noun
ຮູບພາບ,Hoop phap,Image / Photo,noun
ວິດີໂອ,Vi dee o,Video,noun
ສຽງ,Siang,Sound / Voice,noun
ແອັບ,App,Application,noun
ລະບົບ,Ra bop,System,noun
ເຄື່ອງຈັກ,Kheuang chak,Machine,noun
ໄຟຟ້າ,Fai fa,Electricity,noun
ພະລັງງານ,Pha lang ngan,Energy,noun
ສານເຄມີ,San khe mee,Chemical,noun
ສິ່ງແວດລ້ອມ,Sing vaet lom,Environment,noun
ທໍາມະຊາດ,Tham ma xat,Nature,noun
ອາກາດ,A gat,Weather / Air,noun
ອຸນຫະພູມ,Oon ha phoom,Temperature,noun
ລະດູການ,Ra doo gan,Season,noun
ລະດູຮ້ອນ,Ra doo hon,Summer,noun
ລະດູຝົນ,Ra doo fon,Rainy season,noun
ລະດູໜາວ,Ra doo nao,Winter,noun
ທ້ອງຟ້າ,Thong fa,Sky,noun
ເມກ,Mek,Cloud,noun
ດວງອາທິດ,Duang a thit,Sun,noun
ດວງຈັນ,Duang chan,Moon,noun
ດາວ,Dao,Star,noun
ໂລກ,Lok,Earth / World,noun
ປະເທດ,Pa thet,Country,noun
ຊາດ,Xat,Nation,noun
ເມືອງຫຼວງ,Meuang luang,Capital city,noun
ບ້ານ,Ban,Village / Home,noun
ຖະໜົນ,Tha non,Street,noun
ຂົວ,Khua,Bridge,noun
ສວນ,Suan,Garden / Park,noun
ປ່າໄມ້,Pa mai,Forest,noun
ພູເຂົາ,Phoo khao,Mountain range,noun
ຖໍ້າ,Tham,Cave,noun
ຫ້ວຍ,Huay,Stream,noun
ໜອງ,Nong,Pond / Lake,noun
ທົ່ງນາ,Thong na,Rice field,noun
ດິນ,Din,Soil / Land,noun
ຫີນ,Hin,Stone / Rock,noun
ຄໍາ,Kham,Gold,noun
ເງິນ,Ngin,Silver / Money,noun
ເຫຼັກ,Lek,Iron / Steel,noun
ໄມ້,Mai,Wood,noun
ຢາງ,Yang,Rubber / Plastic,noun
ແກ້ວ,Kaew,Glass,noun
ເຈ້ຍ,Chia,Paper,noun
ສີ,See,Color,noun
ສີບົວ,See bua,Pink,adjective
ສີສົ້ມ,See som,Orange,adjective
ສີມ່ວງ,See muang,Purple,adjective
ສີນ້ຳຕານ,See nam tan,Brown,adjective
ສີເທົາ,See thao,Grey,adjective
ຮູບຮ່າງ,Hoop hang,Shape,noun
ວົງມົນ,Vong mon,Circle,noun
ຈະຕຸລັດ,Cha tu lat,Square,noun
ສາມຫຼ່ຽມ,Sam liam,Triangle,noun
ຂະໜາດ,Kha nat,Size,noun
ນ້ຳໜັກ,Nam nak,Weight,noun
ຄວາມຍາວ,Khuam nyao,Length,noun
ຄວາມກວ້າງ,Khuam guang,Width,noun
ຄວາມສູງ,Khuam soong,Height,noun
ຄວາມເລິກ,Khuam loek,Depth,noun
ຄວາມໄວ,Khuam vai,Speed,noun
ໄລຍະທາງ,Lai ya thang,Distance,noun
ຄວາມຮ້ອນ,Khuam hon,Heat,noun
ຄວາມເຢັນ,Khuam yen,Coldness,noun
ຄວາມສະຫວ່າງ,Khuam sa vang,Brightness,noun
ຄວາມມືດ,Khuam meut,Darkness,noun
ຄວາມຈິງ,Khuam ching,Truth,noun
ຄວາມຝັນ,Khuam fan,Dream,noun
ຄວາມຫວັງ,Khuam vang,Hope,noun
ຄວາມຮັກ,Khuam huk,Love (Noun),noun
ຄວາມສຸກ,Khuam suk,Happiness,noun
ຄວາມທຸກ,Khuam thuk,Suffering,noun
ຄວາມໃຈຮ້ອນ,Khuam jai hon,Impatience,noun
ຄວາມກ້າຫານ,Khuam ga han,Bravery,noun
ຄວາມຢ້ານ,Khuam yan,Fear,noun
ຄວາມຮູ້,Khuam roo,Knowledge,noun
ຄວາມຄິດ,Khuam khit,Thought / Idea,noun
ຄວາມຊົງຈໍາ,Khuam song cham,Memory,noun
ຄວາມໝາຍ,Khuam mai,Meaning,noun
ເຫດຜົນ,Het phon,Reason,noun
ບັນຫາ,Ban ha,Problem,noun
ຄໍາຕອບ,Kham top,Answer / Solution,noun
ວິທີ,Vi thi,Method / Way,noun
ໂອກາດ,O gat,Opportunity,noun
ອະນາຄົດ,A na khot,Future,noun
ອະດີດ,A deet,Past,noun
ປັດຈຸບັນ,Pat xu ban,Present,noun
ຊີວິດ,Xee vit,Life,noun
Lao Script,Transliteration,English Translation,word type
ສຸຂະພາບ,Suk ha phap,Health,noun
ຮ່າງກາຍ,Hang gai,Body,noun
ຈິດໃຈ,Chit chai,Mind / Spirit,noun
ພະຍາດ,Pha nyat,Disease / Illness,noun
ອາການ,A gan,Symptom,noun
ຢາ,Ya,Medicine,noun
ການປິ່ນປົວ,Gan pin pua,Treatment,noun
ຜ່າຕັດ,Pha tat,Surgery,verb
ປະກັນໄພ,Pa gan phai,Insurance,noun
ອຸບັດຕິເຫດ,Oo bat ti het,Accident,noun
ຄວາມປອດໄພ,Khuam pot phai,Safety,noun
ອັນຕະລາຍ,An ta lai,Danger,noun/adj
ສຸກເສີນ,Suk sein,Emergency,noun/adj
ການສຶກສາ,Gan seuk sa,Education,noun
ຄວາມຮູ້,Khuam roo,Knowledge,noun
ວິຊາ,Vi sa,Subject (Study),noun
ຄູ / ອາຈານ,Khoo / A chan,Teacher / Professor,noun
ນັກຮຽນ,Nak hian,Student,noun
ມະຫາວິທະຍາໄລ,Ma ha vi tha nya lai,University,noun
ໃບປະກາດ,Bai pa gat,Diploma / Certificate,noun
ການທົດລອງ,Gan thot long,Experiment,noun
ປະສົບການ,Pa sop gan,Experience,noun
ວັດທະນະທໍາ,Wat tha na tham,Culture,noun
ປະເພນີ,Pa phe nee,Tradition,noun
ສິນລະປະ,Sin la pa,Art,noun
ດົນຕີ,Don tee,Music,noun
ກິລາ,Gi la,Sport,noun
ການທ່ອງທ່ຽວ,Gan thong thiao,Tourism,noun
ສັງຄົມ,Sang khom,Society,noun
ປະຊາຊົນ,Pa sa xon,People / Citizens,noun
ຄອບຄົວ,Khop khua,Family,noun
ລັດຖະທໍາມະນູນ,Lat tha tham ma noon,Constitution,noun
ການເມືອງ,Gan meuang,Politics,noun
ປະຊາທິປະໄຕ,Pa sa thi pa tai,Democracy,noun
ເສລີພາບ,Se lee phap,Freedom,noun
ສັນຕິພາບ,San ti phap,Peace,noun
ສົງຄາມ,Song kham,War,noun
ຄວາມຍຸຕິທໍາ,Khuam yu ti tham,Justice,noun
ສິດທິ,Sit thi,Rights,noun
ກົດລະບຽບ,Got la biap,Regulation / Rule,noun
ໂຄສະນາ,Kho sa na,Advertising,noun
ຂ່າວ,Khao,News,noun
ວາລະສານ,Va la san,Magazine,noun
ປຶ້ມແບບຮຽນ,Peum baep hian,Textbook,noun
ວັດຈະນານຸກົມ,Wat cha na nu kom,Dictionary,noun
ຄວາມສໍາພັນ,Khuam sam phan,Relationship,noun
ເພື່ອນຮ່ວມງານ,Pheuan huam ngan,Colleague,noun
ບຸກຄະລິກ,Buk kha lik,Personality,noun
ລັກສະນະ,Lak sa na,Character / Feature,noun
ຄວາມສໍາເລັດ,Khuam sam let,Success,noun
ຄວາມລົ້ມເຫຼວ,Khuam lom hleo,Failure,noun
ເປົ້າໝາຍ,Pao mai,Goal / Target,noun
ຄວາມພະຍາຍາມ,Khuam pha nya yam,Effort,noun
ຄວາມອົດທົນ,Khuam ot thon,Patience,noun
ຄວາມຮັບຜິດຊອບ,Khuam hap phit sop,Responsibility,noun
ການຕັດສິນໃຈ,Gan tat sin chai,Decision,noun
ການວາງແຜນ,Gan vang phaen,Planning,noun
ການຈັດການ,Gan chat gan,Management,noun
ການບໍລິການ,Gan bo ri gan,Service,noun
ຄຸນນະພາບ,Khun na phap,Quality,noun
ປະລິມານ,Pa li man,Quantity,noun
ມາດຕະຖານ,Mat ta than,Standard,noun
ລາຄາຖືກ,La kha theuk,Cheap price,adjective
ລາຄາແພງ,La kha phaeng,Expensive price,adjective
ສ່ວນຫຼຸດ,Suan loot,Discount,noun
ພາສີມູນຄ່າເພີ່ມ,Pha see moon kha pheurm,VAT,noun
ໃບເກັບເງິນ,Bai gep ngin,Invoice / Bill,noun
ໃບຮັບເງິນ,Bai hap ngin,Receipt,noun
ກໍາໄລ,Gam lai,Profit,noun
ຂາດທຶນ,Khat thun,Loss (Financial),verb/noun
ຕະຫຼາດຫຸ້ນ,Ta lat hoon,Stock market,noun
ການລົງທຶນ,Gan long thun,Investment,noun
ຄວາມສ່ຽງ,Khuam siang,Risk,noun
ໂຊກດີ,Sok dee,Lucky,adjective
ໂຊກຮ້າຍ,Sok hai,Unlucky,adjective
ພິເສດ,Phi set,Special,adjective
ທໍາມະດາ,Tham ma da,Ordinary / Normal,adjective
ສໍາຄັນ,Sam khan,Important,adjective
ຈໍາເປັນ,Cham pen,Necessary,adjective
ຊັດເຈນ,Sat chen,Clear / Precise,adjective
ກົງໄປກົງມາ,Gong pai gong ma,Straightforward,adjective
ສຸພາບ,Su phap,Polite,adjective
ໃຈດີ,Chai dee,Kind,adjective
ຊື່ສັດ,Seu sat,Honest,adjective
ຈິງໃຈ,Ching chai,Sincere,adjective
ຂີ້ຄຸຍ,Khee khuy,Boastful,adjective
ຂີ້ຢ້ານ,Khee yan,Cowardly,adjective
ສະຫຼາດ,Sa lat,Intelligent,adjective
ໂງ່,Ngo,Stupid,adjective
ຂີ້ຄ້ານ,Khee khan,Lazy,adjective
ຂະຫຍັນ,Kha nyan,Hardworking,adjective
ອົດທົນ,Ot thon,Patient / Enduring,adjective
ອ່ອນໂຍນ,On nyon,Gentle,adjective
ແຂງແຮງ,Khaeng haeng,Strong,adjective
ອ່ອນແອ,On ae,Weak,adjective
ລວຍ,Luay,Rich,adjective
ທຸກຍາກ,Thuk nyak,Poor,adjective
ສະດວກ,Sa duak,Convenient,adjective
ລໍາບາກ,Lam bak,Difficult / Hardship,adjective
ສົມບູນ,Som boon,Perfect / Complete,adjective
Lao Script,Transliteration,English Translation,word type
ເກືອ,Geua,Salt,noun
ນ້ຳຕານ,Nam tan,Sugar,noun
ນ້ຳປາ,Nam pa,Fish sauce,noun
ພິກໄທ,Phik thai,Black pepper,noun
ໝາກເຜັດ,Mak phet,Chili,noun
ຜັກທຽມ,Phak thiam,Garlic,noun
ຫອມບົ່ວ,Hom bua,Onion,noun
ຂີງ,Khing,Ginger,noun
ຂ່າ,Kha,Galangal,noun
ໃບຂີ້ຫູດ,Bai khee hoot,Kaffir lime leaf,noun
ຕະໄຄ,Ta khai,Lemongrass,noun
ໝາກນາວ,Mak nao,Lime / Lemon,noun
ນ້ຳມັນ,Nam man,Oil,noun
ນ້ຳສົ້ມສາຍຊູ,Nam som sai xoo,Vinegar,noun
ແປ້ງນົວ,Phaeng nua,MSG,noun
ກະປິ,Ga pi,Shrimp paste,noun
ປາແດກ,Pa daek,Fermented fish,noun
ໝາກຖົ່ວ,Mak thua,Beans / Peanuts,noun
ໝາກງາ,Mak nga,Sesame,noun
ມັນຝະລັ່ງ,Man pha lang,Potato,noun
ຜັກກາດ,Phak gat,Cabbage / Lettuce,noun
ຜັກບົ້ງ,Phak bong,Morning glory,noun
ຜັກຫອມປ້ອມ,Phak hom pom,Coriander,noun
ສາລີ,Sa lee,Corn,noun
ເຫັດ,Het,Mushroom,noun
ຊີ້ນໝູ,Seen moo,Pork,noun
ຊີ້ນງົວ,Seen ngua,Beef,noun
ຊີ້ນໄກ່,Seen gai,Chicken meat,noun
ເປັດ,Pet,Duck,noun
ກຸ້ງ,Goong,Shrimp,noun
ປູ,Poo,Crab,noun
ຫອຍ,Hoy,Shellfish / Snail,noun
ໝໍ້,Mor,Pot,noun
ກະທະ,Ga tha,Pan,noun
ຈານ,Chan,Plate,noun
ບ່ວງ,Buang,Spoon,noun
ສ້ອມ,Som,Fork,noun
ມີດ,Meet,Knife,noun
ຈອກ,Chok,Glass / Cup,noun
ຟອຍ,Phoy,Broom,noun
ຖັງຂີ້ເຫຍື້ອ,Thang khee nyeua,Trash can,noun
ສະບູ,Sa boo,Soap,noun
ຢາຖູແຂ້ວ,Ya thoo khaew,Toothpaste,noun
ແປງຖູແຂ້ວ,Phaeng thoo khaew,Toothbrush,noun
ແຟັບ,Faep,Laundry detergent,noun
ຜ້າເຊັດໂຕ,Pha set to,Towel,noun
ກະຈົກ,Ga chok,Mirror,noun
ຫວີ,Vee,Comb,noun
ຕູ້ເສື້ອຜ້າ,Too seua pha,Wardrobe,noun
ໂຄມໄຟ,Khom fai,Lamp,noun
ພັດລົມ,Phat lom,Fan,noun
ເຄື່ອງປັບອາກາດ,Kheuang pap a gat,Air conditioner,noun
ຕູ້ເຢັນ,Too yen,Refrigerator,noun
ເຄື່ອງຊັກຜ້າ,Kheuang sak pha,Washing machine,noun
ເຕົາລີດ,Tao leet,Iron (for clothes),noun
ໂທລະທັດ,Thola that,Television,noun
ວິທະຍຸ,Vi tha nyoo,Radio,noun
ໂມງ,Mong,Clock / Watch,noun
ກະແຈ,Ga chae,Key,noun
ປ່ອງຢ້ຽມ,Pong nyiam,Window,noun
ປະຕູ,Pa too,Door,noun
ຫຼັງຄາ,Lang kha,Roof,noun
ພື້ນ,Pheun,Floor,noun
ກຳແພງ,Gam phaeng,Wall,noun
ຮົ້ວ,Hua,Fence,noun
ຂັ້ນໄດ,Khan dai,Stairs,noun
ເດີ່ນ,Deun,Yard / Lawn,noun
ບ່ອນຈອດລົດ,Bon chot lot,Parking lot,noun
ຖະໜົນຫົນທາງ,Tha non hon thang,Roadways,noun
